date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2016-10-17,51.1,51.74,49.83,49.01,26645.99,-1.29,-2.52,51.388,50.4,51.175,29285.27,30246.71,35012.35
2016-10-14,51.7,51.75,51.1,50.88,24023.52,-0.78,-1.5,51.422,50.646,51.283,29129.41,33423.23,34445.58
2016-10-13,52.12,52.47,51.88,51.7,23789.44,-0.24,-0.46,50.886,51.342,51.322,28170.61,43293.5,34426.84
2016-10-12,51.37,53.0,52.12,51.03,34509.8,0.13,0.25,50.288,51.826,51.373,28606.35,47683.4,34660.13
2016-10-11,50.03,53.3,52.01,49.49,37457.61,2.02,4.04,49.674,51.781,51.374,27755.01,46505.22,33904.03
2016-10-10,48.6,50.48,50.0,48.6,25866.67,1.6,3.31,49.412,51.685,51.41,31208.15,44752.9,33409.33
2016-09-30,48.88,49.15,48.42,48.13,19229.55,-0.41,-0.84,49.87,51.749,51.625,37717.05,43921.22,33801.27
2016-09-29,49.06,49.83,48.89,48.68,25968.11,-0.17,-0.35,51.798,51.955,51.919,58416.38,44555.06,34462.21
2016-09-28,50.43,50.6,49.05,49.0,30253.13,-1.68,-3.31,53.364,52.091,52.194,66760.45,44377.24,34356.39
2016-09-27,49.6,51.52,50.7,48.51,54723.29,-1.59,-3.04,53.888,52.004,52.457,65255.43,43238.55,34397.02
2016-09-26,54.1,54.92,52.29,52.29,58411.15,-5.81,-10.0,53.958,51.949,52.681,58297.64,39778.0,34717.82
2016-09-23,58.78,61.0,58.06,57.18,122726.21,1.34,2.36,53.628,51.919,52.993,50125.39,35467.93,35104.72
2016-09-22,52.08,56.72,56.72,51.13,67688.49,5.16,10.01,52.112,51.301,52.976,30693.75,25560.19,32518.42
2016-09-21,51.45,52.55,51.67,51.06,22728.0,0.63,1.23,50.818,50.92,53.182,21994.03,21636.85,34125.21
2016-09-20,50.6,51.86,51.05,50.5,19934.36,0.4,0.79,50.12,50.966,53.466,21221.67,21302.84,36244.36
2016-09-19,50.76,51.29,50.64,49.84,17549.9,0.13,0.26,49.94,51.134,53.7,21258.35,22065.77,37668.52
2016-09-14,50.0,51.5,50.48,49.5,25567.99,0.27,0.54,50.21,51.5,54.079,20810.47,23681.33,40026.48
2016-09-13,48.69,50.29,50.25,48.1,24189.89,2.09,4.34,50.49,51.882,54.518,20426.63,24369.35,43403.7
2016-09-12,48.2,49.09,48.18,48.05,18866.19,-1.93,-3.85,51.022,52.297,54.8,21279.68,24335.54,44871.66
2016-09-09,52.13,52.14,50.15,49.88,20117.79,-1.83,-3.52,51.812,52.909,54.935,21384.02,25555.5,46263.48
2016-09-08,51.65,52.43,51.99,51.0,15310.5,0.13,0.25,52.328,53.413,54.884,22873.19,29657.65,46650.38
2016-09-07,52.96,53.45,51.88,51.75,23648.78,-1.03,-1.95,52.79,54.067,54.699,26552.18,34741.52,47515.18
2016-09-06,52.13,52.98,52.91,50.5,28455.14,0.68,1.3,53.274,54.65,54.627,28312.08,39476.64,48672.93
2016-09-05,52.94,53.43,52.13,51.81,19387.87,-0.63,-1.19,53.572,55.444,54.454,27391.4,46613.57,48926.65
2016-09-02,53.48,53.85,52.73,52.42,27563.66,-1.58,-2.91,54.006,55.966,54.275,29726.99,51185.88,49469.84
2016-09-01,54.03,55.98,54.3,53.83,33705.44,0.01,0.02,54.498,56.265,54.068,36442.11,53271.26,49665.7
2016-08-31,53.95,54.6,54.3,52.36,32448.27,-0.09,-0.17,55.344,56.658,53.845,42930.85,56371.63,49690.09
2016-08-30,54.5,55.99,54.4,54.2,23851.78,0.13,0.24,56.026,57.153,53.664,50641.21,62438.04,50543.53
2016-08-29,53.8,56.45,54.3,53.8,31065.79,-0.88,-1.59,57.316,57.303,53.362,65835.74,65407.79,50751.5
2016-08-26,56.14,57.68,55.19,54.6,61139.29,-3.35,-5.72,57.926,56.961,53.021,72644.77,66971.45,51121.86
2016-08-25,56.5,60.4,58.53,54.7,66149.13,0.8,1.39,58.032,56.354,52.846,70100.41,63643.1,50041.12
2016-08-24,59.6,60.07,57.71,56.8,71000.06,-3.1,-5.1,57.972,55.331,52.576,69812.41,60288.84,49199.22
2016-08-23,56.03,62.21,60.85,55.0,99824.45,3.53,6.16,58.28,54.603,52.36,74234.88,57869.22,48546.16
2016-08-22,55.61,59.0,57.35,53.05,65110.94,1.65,2.96,57.29,53.464,52.202,64979.83,51239.73,46182.35
2016-08-19,57.82,58.5,55.72,55.6,48417.48,-2.44,-4.2,55.996,52.583,52.114,61298.12,47753.8,44909.49
2016-08-18,58.12,58.99,58.23,57.0,64709.1,-1.01,-1.71,54.676,51.871,52.138,57185.79,46060.13,44671.55
2016-08-17,56.51,60.34,59.25,56.51,93112.42,3.35,5.99,52.69,51.031,52.161,50765.27,43008.55,44461.83
2016-08-16,51.01,55.9,55.9,50.58,53549.19,5.08,10.0,50.926,50.175,52.208,41503.56,38649.02,42178.55
2016-08-15,49.0,52.48,50.88,48.64,46702.42,1.8,3.67,49.638,49.421,52.524,37499.64,36095.21,42313.84
2016-08-12,47.91,49.45,49.12,47.6,27855.8,0.79,1.64,49.17,49.08,53.161,34209.47,35272.28,43438.8
2016-08-11,50.5,50.5,48.3,48.2,32606.5,-2.16,-4.28,49.066,49.338,53.774,34934.47,36439.14,46331.44
2016-08-10,49.46,51.35,50.43,49.04,46803.88,0.97,1.96,49.372,49.82,54.468,35251.83,38109.61,48531.8
2016-08-09,48.39,49.68,49.46,48.02,33529.59,0.89,1.83,49.424,50.117,55.102,35794.48,39223.09,52135.08
2016-08-08,47.33,48.93,48.54,46.0,30251.58,-0.12,-0.25,49.204,50.94,55.517,34690.78,41124.97,54586.65
2016-08-05,49.83,50.8,48.6,48.25,31480.79,-1.24,-2.49,48.99,51.644,55.72,36335.08,42065.19,56213.74
2016-08-04,50.3,50.67,49.83,49.46,34193.29,-0.79,-1.56,49.61,52.405,56.102,37943.81,43282.98,57976.25
2016-08-03,48.0,50.9,50.69,47.51,49517.16,2.4,4.97,50.268,53.29,56.568,40967.39,45915.11,61089.42
2016-08-02,47.86,48.59,48.36,46.95,28011.06,0.9,1.9,50.81,54.241,56.848,42651.71,45708.09,64714.05
2016-08-01,50.6,50.6,47.47,47.0,38473.1,-4.27,-8.25,52.676,55.626,57.2,47559.16,48532.48,68131.26
2016-07-29,52.8,53.93,51.7,51.1,39524.44,-1.44,-2.71,54.298,57.242,57.345,47795.3,51605.32,70479.4
2016-07-28,52.48,54.01,53.12,50.0,49311.2,-0.25,-0.47,55.2,58.21,57.048,48622.14,56223.74,70579.16
2016-07-27,57.75,58.9,53.4,51.96,57938.73,-4.27,-7.4,56.312,59.115,56.625,50862.84,58953.99,71689.48
2016-07-26,54.9,58.48,57.69,54.52,52548.32,2.13,3.83,57.672,60.086,56.379,48764.47,65047.06,72712.02
2016-07-25,55.94,56.0,55.58,53.3,39653.83,-0.61,-1.09,58.576,60.093,55.815,49505.81,68048.33,73350.37
2016-07-22,58.3,58.4,56.21,55.51,43658.62,-2.46,-4.19,60.186,59.795,55.327,55415.33,70362.28,74661.85
2016-07-21,60.33,60.71,58.68,56.51,60514.68,-1.56,-2.59,61.22,59.799,54.686,63825.35,72669.52,76086.41
2016-07-20,62.45,63.15,60.2,60.18,47446.91,-2.05,-3.29,61.918,59.846,53.994,67045.15,76263.72,77346.26
2016-07-19,62.57,64.5,62.21,61.35,56254.99,-1.36,-2.14,62.5,59.455,53.189,81329.65,83720.01,78398.49
2016-07-18,60.33,63.8,63.63,58.5,69201.44,2.28,3.72,61.61,58.774,52.278,86590.85,87730.04,81465.9
2016-07-15,62.8,65.13,61.38,60.8,85708.72,-0.79,-1.27,59.404,57.447,51.284,85309.24,89353.49,82562.66
2016-07-14,61.0,63.1,62.17,60.0,76613.68,-0.96,-1.52,58.378,55.886,50.236,81513.69,84934.58,80993.56
2016-07-13,59.21,63.45,63.11,58.9,118869.42,5.35,9.26,57.774,54.134,49.063,85482.29,84424.97,79025.56
2016-07-12,52.0,57.76,57.76,51.99,82561.01,5.25,10.0,56.41,52.671,47.864,86110.37,80376.98,75401.43
2016-07-11,55.29,57.0,52.6,51.4,62793.37,-3.64,-6.47,55.938,51.536,46.848,88869.22,78652.41,73183.59
2016-07-08,57.9,58.5,56.25,56.1,66730.99,-2.86,-4.84,55.49,50.858,46.064,93397.75,78961.42,72884.44
2016-07-07,56.27,60.59,59.15,55.03,96456.67,2.88,5.12,53.394,49.573,45.306,88355.46,79503.3,73285.84
2016-07-06,56.95,60.0,56.29,53.18,122009.81,0.89,1.61,50.494,48.141,44.504,83367.65,78428.79,72659.23
2016-07-05,50.69,55.4,55.4,50.2,96355.24,5.04,10.01,48.932,46.922,43.77,74643.59,73076.98,69453.26
2016-07-04,45.05,50.36,50.36,45.05,85436.02,4.58,10.0,47.134,45.781,43.094,68435.59,75201.76,69213.04
2016-07-01,44.75,46.24,45.77,44.75,41519.54,1.14,2.55,46.226,45.121,42.735,64525.09,75771.83,70335.82
2016-06-30,46.9,46.91,44.65,44.36,71517.64,-3.82,-7.88,45.752,44.586,42.497,70651.14,77052.55,73225.57
2016-06-29,48.0,49.35,48.48,46.1,78389.5,2.02,4.35,45.788,43.991,42.305,73489.93,73626.14,74705.26
2016-06-28,45.35,46.6,46.41,44.72,65315.27,0.61,1.33,44.912,43.057,41.842,71510.36,70425.88,75370.4
2016-06-27,43.06,45.97,45.82,43.03,65883.49,2.42,5.58,44.428,42.16,41.517,81967.92,67714.78,79290.77
2016-06-24,44.0,44.85,43.4,41.35,72149.78,-1.42,-3.17,44.016,41.27,41.266,87018.58,66807.47,82620.02
2016-06-23,43.8,46.71,44.83,43.8,85711.61,0.76,1.73,43.42,41.038,40.949,83453.96,67068.39,84738.88
2016-06-22,43.12,44.99,44.1,42.51,68491.67,0.25,0.57,42.194,40.866,40.458,73762.36,66889.68,83484.87
2016-06-21,43.8,46.0,43.99,42.32,117603.05,0.28,0.64,41.202,40.618,40.045,69341.39,65829.54,85555.68
2016-06-20,40.45,44.4,43.76,40.01,91136.78,3.4,8.42,39.892,40.407,39.6,53461.65,63224.33,83154.32
2016-06-17,38.99,40.62,40.42,38.98,54326.68,1.73,4.47,38.524,40.348,39.121,46596.37,64899.81,81676.88
2016-06-16,39.11,39.96,38.7,38.5,37253.6,-0.43,-1.1,38.656,40.408,38.783,50682.82,69398.6,84100.69
2016-06-15,37.0,40.13,39.14,36.71,46386.86,1.68,4.49,39.538,40.618,38.68,60016.99,75784.37,88907.98
2016-06-14,36.15,37.74,37.44,36.1,38204.32,0.52,1.41,40.034,40.627,38.513,62317.69,80314.92,94691.16
2016-06-13,39.8,39.8,36.92,36.92,56810.37,-4.1,-9.99,40.922,40.873,38.477,72987.01,90866.75,98131.03
2016-06-08,42.51,42.59,41.08,40.51,74758.97,-2.07,-4.8,42.172,41.261,38.299,83203.25,98432.57,97590.72
2016-06-07,41.95,43.7,43.11,41.7,83924.45,1.49,3.58,42.16,40.86,37.762,88114.37,102409.37,93914.08
2016-06-06,41.91,42.0,41.62,40.85,57890.34,-0.26,-0.62,41.698,40.049,36.986,91551.75,100080.06,89762.9
2016-06-03,43.1,43.67,41.88,41.68,91550.9,-1.22,-2.83,41.22,39.472,36.158,98312.15,105281.82,86909.13
2016-06-02,40.61,43.49,43.17,40.51,107891.6,2.12,5.16,40.824,38.793,35.204,108746.49,103084.32,82351.72
2016-06-01,40.61,42.7,41.02,40.5,99314.58,0.23,0.56,40.35,37.894,34.081,113661.89,98453.96,76978.09
2016-05-31,38.7,41.35,40.8,38.7,101111.35,1.72,4.4,39.56,37.157,32.972,116704.36,98802.78,72027.15
2016-05-30,39.3,40.6,39.23,37.62,91692.31,-0.68,-1.7,38.4,36.742,31.789,108608.36,102031.6,66976.99
2016-05-27,42.0,43.69,39.9,39.44,143722.61,-0.9,-2.21,37.724,36.399,30.606,112251.48,109067.41,62394.18
2016-05-26,36.35,40.8,40.8,36.35,132468.58,3.71,10.0,36.762,36.08,29.318,97422.15,105395.31,55210.65
2016-05-25,35.35,38.35,37.07,35.35,114526.93,2.05,5.85,35.438,35.337,27.921,83246.03,96748.88,48597.59
2016-05-24,35.56,36.33,35.0,34.63,60631.38,-0.73,-2.04,34.754,34.664,27.439,80901.2,85418.79,45127.63
2016-05-23,34.6,37.5,35.85,34.6,109907.92,0.75,2.14,35.084,33.922,27.019,95454.83,79445.74,44266.31
2016-05-20,33.24,35.3,35.09,33.01,69575.96,0.93,2.72,35.074,32.844,26.5,105883.33,68536.44,40405.04
2016-05-19,33.98,34.79,34.18,33.33,61587.97,0.58,1.73,35.398,31.614,25.963,113368.47,61619.11,38581.85
2016-05-18,35.44,35.55,33.65,32.96,102802.77,-2.97,-8.11,35.236,30.268,25.415,110251.73,55502.22,37048.11
2016-05-17,35.51,38.0,36.65,35.5,133399.52,0.87,2.43,34.574,28.787,24.827,89936.39,45251.52,32351.35
2016-05-16,40.0,40.38,35.8,35.51,162050.41,-0.91,-2.48,32.76,26.835,23.918,63436.66,31922.39,24578.41
2016-05-13,34.0,36.71,36.71,33.66,107001.69,3.34,10.01,30.614,24.812,22.928,31189.55,15720.95,13122.42
2016-05-12,33.37,33.37,33.37,33.37,46004.24,3.03,9.99,27.83,22.556,21.675,9869.76,5025.98,4587.94
2016-05-11,30.34,30.34,30.34,30.34,1226.08,2.76,10.01,25.3,20.505,20.505,752.71,446.31,446.31
2016-05-10,27.58,27.58,27.58,27.58,900.88,2.51,10.01,23.0,19.412,19.412,566.66,359.66,359.66
2016-05-09,25.07,25.07,25.07,25.07,814.88,2.28,10.0,20.91,18.391,18.391,408.12,292.01,292.01
2016-05-06,22.79,22.79,22.79,22.79,402.7,2.07,9.99,19.01,17.437,17.437,252.34,217.32,217.32
2016-05-05,20.72,20.72,20.72,20.72,419.0,1.88,9.98,17.282,16.545,16.545,182.2,186.42,186.42
2016-05-04,18.84,18.84,18.84,18.84,295.82,1.71,9.98,15.71,15.71,15.71,139.9,139.9,139.9
2016-05-03,17.13,17.13,17.13,17.13,108.18,1.56,10.02,14.928,14.928,14.928,100.92,100.92,100.92
2016-04-29,15.57,15.57,15.57,15.57,36.01,1.42,10.04,14.193,14.193,14.193,98.5,98.5,98.5
2016-04-28,14.15,14.15,14.15,14.15,52.0,1.29,10.03,13.505,13.505,13.505,129.75,129.75,129.75
2016-04-27,12.86,12.86,12.86,12.86,207.5,3.93,44.01,12.86,12.86,12.86,207.5,207.5,207.5
